Tecnologia,Localidad,Accesos
ADSL,San Carlos Centro,255.0
ADSL,San Carlos Minas,160.0
ADSL,San Carlos Sud,30.0
ADSL,San Carlos de Bariloche,6542.0
ADSL,San Carlos de Bolívar  (Est. Bolívar),727.0
ADSL,San Cayetano,116.0
ADSL,San Clemente del Tuyú,1420.0
ADSL,San Cosme,71.0
ADSL,San Cristóbal,511.0
ADSL,San Eduardo,134.0
ADSL,San Esteban,49.0
ADSL,San Fabián,55.0
ADSL,San Fernando,865.0
ADSL,San Fernando del Valle de Catamarca,2415.0
ADSL,San Francisco,2320.0
ADSL,San Francisco Solano,4.0
ADSL,San Genaro,278.0
ADSL,San Genaro Norte,614.0
ADSL,San Gregorio,43.0
