Año,Trimestre,Provincia,Mbps (Media de bajada)
2020,2020Q2,La Rioja,11.6691109619773
2020,2020Q2,Mendoza,9.27456273209416
2020,2020Q2,Misiones,22.5601226175832
2020,2020Q2,Neuquén,29.1001476238785
2020,2020Q2,Río Negro,19.6795960472832
2020,2020Q2,Salta,22.5585361879566
2020,2020Q2,San Juan,6.30861496319647
2020,2020Q2,San Luis,21.0206269368907
2020,2020Q2,Santa Cruz,6.59320241817803
2020,2020Q2,Santa Fe,23.9257916089841
2020,2020Q2,Santiago Del Estero,10.411619106122
2020,2020Q2,Tierra Del Fuego,8.12832939545727
2020,2020Q2,Tucumán,32.704534437188
2020,2020Q1,Buenos Aires,45.1812880737555
2020,2020Q1,Capital Federal,58.7056829624225
2020,2020Q1,Catamarca,29.1322250129396
2020,2020Q1,Chaco,25.942049334121695
2020,2020Q1,Chubut,7.1170477818654
2020,2020Q1,Córdoba,29.3947878350613
2020,2020Q1,Corrientes,20.5389992749433
2020,2020Q1,Entre Ríos,19.0297653350575
2020,2020Q1,Formosa,15.6973526074151
2020,2020Q1,Jujuy,14.1449220571547
2020,2020Q1,La Pampa,7.29175772047483
2020,2020Q1,La Rioja,7.96241894715069
2020,2020Q1,Mendoza,8.440867710217
2020,2020Q1,Misiones,22.1482130684363
2020,2020Q1,Neuquén,27.7682820789762
2020,2020Q1,Río Negro,19.0603005640612
2020,2020Q1,Salta,21.4250472439027
2020,2020Q1,San Juan,6.0369845914841
2020,2020Q1,San Luis,20.9893797442827
2020,2020Q1,Santa Cruz,6.41717062736403
2020,2020Q1,Santa Fe,22.4240567700362
2020,2020Q1,Santiago Del Estero,10.0005390804948
2020,2020Q1,Tierra Del Fuego,7.41086583769633
2020,2020Q1,Tucumán,32.2455309430329
2019,2019Q4,Buenos Aires,30.7696941410059
2019,2019Q4,Capital Federal,44.2031786700859
2019,2019Q4,Catamarca,24.8783076704626
2019,2019Q4,Chaco,23.3749508001623
2019,2019Q4,Chubut,6.99411352344506
2019,2019Q4,Córdoba,26.1622806145129
2019,2019Q4,Corrientes,19.2554116079714
2019,2019Q4,Entre Ríos,17.0075808976571
2019,2019Q4,Formosa,14.5256295515193
2019,2019Q4,Jujuy,12.9592000428042
2019,2019Q4,La Pampa,6.52615219569304
2019,2019Q4,La Rioja,8.00088036402963
2019,2019Q4,Mendoza,7.78520088998709
2019,2019Q4,Misiones,20.3203474357427
2019,2019Q4,Neuquén,26.0198843147829
2019,2019Q4,Río Negro,17.176998973856
2019,2019Q4,Salta,19.0835730228338
2019,2019Q4,San Juan,6.04017169846849
2019,2019Q4,San Luis,20.6903534221431
2019,2019Q4,Santa Cruz,5.20792506406971
2019,2019Q4,Santa Fe,20.5471970198073
2019,2019Q4,Santiago Del Estero,9.79220184435585
2019,2019Q4,Tierra Del Fuego,7.27
2019,2019Q4,Tucumán,29.8703893243128
2019,2019Q3,Buenos Aires,25.6793801438341
2019,2019Q3,Capital Federal,38.7141005607114
2019,2019Q3,Catamarca,9.29340742945983
2019,2019Q3,Chaco,19.9946681226854
2019,2019Q3,Chubut,6.96632358847429
2019,2019Q3,Córdoba,23.1934023649398
2019,2019Q3,Corrientes,16.6999225509086
2019,2019Q3,Entre Ríos,14.6951328665006
2019,2019Q3,Formosa,13.223537484062
2019,2019Q3,Jujuy,11.9682409299243
2019,2019Q3,La Pampa,5.71966646489104
2019,2019Q3,La Rioja,8.00237529691211
2019,2019Q3,Mendoza,6.10822854552147
2019,2019Q3,Misiones,17.9315224613728
2019,2019Q3,Neuquén,23.7484151599667
2019,2019Q3,Río Negro,15.9837185039992
2019,2019Q3,Salta,14.7464652444555
2019,2019Q3,San Juan,6.0382295086509
2019,2019Q3,San Luis,19.7438269823496
2019,2019Q3,Santa Cruz,5.01774694095645
2019,2019Q3,Santa Fe,18.1655296866879
2019,2019Q3,Santiago Del Estero,9.38941313142636
2019,2019Q3,Tierra Del Fuego,6.69070138014341
2019,2019Q3,Tucumán,19.3239947945805
2019,2019Q2,Buenos Aires,22.4800460185574
2019,2019Q2,Capital Federal,30.346259857092
2019,2019Q2,Catamarca,8.81
2019,2019Q2,Chaco,16.0102433309966
2019,2019Q2,Chubut,6.05440689354379
2019,2019Q2,Córdoba,18.4315178319128
2019,2019Q2,Corrientes,13.8330350838162
2019,2019Q2,Entre Ríos,12.1933578179506
2019,2019Q2,Formosa,10.8366112194808
2019,2019Q2,Jujuy,12.0733822805073
2019,2019Q2,La Pampa,5.49228832141797
2019,2019Q2,La Rioja,7.89416348600509
2019,2019Q2,Mendoza,6.02629690452623
2019,2019Q2,Misiones,14.5013025473924
2019,2019Q2,Neuquén,17.242865250196
2019,2019Q2,Río Negro,11.6280502043199
2019,2019Q2,Salta,12.5487487506016
2019,2019Q2,San Juan,6.11852201306904
2019,2019Q2,San Luis,19.8759728483994
2019,2019Q2,Santa Cruz,6.00804731756081
2019,2019Q2,Santa Fe,15.0745490588903
2019,2019Q2,Santiago Del Estero,7.10311288296652
2019,2019Q2,Tierra Del Fuego,6.34
2019,2019Q2,Tucumán,18.5293178859203
2019,2019Q1,Buenos Aires,19.6439582242305
2019,2019Q1,Capital Federal,24.7150632938498
2019,2019Q1,Catamarca,7.96400515527188
2019,2019Q1,Chaco,13.4442362690779
2019,2019Q1,Chubut,5.89173056919616
2019,2019Q1,Córdoba,15.7348642286459
2019,2019Q1,Corrientes,12.049695550812
2019,2019Q1,Entre Ríos,10.659197328954
2019,2019Q1,Formosa,9.82508995783571
2019,2019Q1,Jujuy,8.56046421746506
2019,2019Q1,La Pampa,5.0578618428674
2019,2019Q1,La Rioja,7.09279228699204
2019,2019Q1,Mendoza,5.7427641753174
2019,2019Q1,Misiones,12.5127734596835
2019,2019Q1,Neuquén,15.8846532639152
2019,2019Q1,Río Negro,10.4884206481363
2019,2019Q1,Salta,10.3771000139695
2019,2019Q1,San Juan,5.83926318942954
